HANDLE,LABEL,REASON
AndyKinley,false,"oncology clinical researcher but bio vague"
andyturner32,false,"education technology leader/doctoral candidate but no qualitative research focus evident"
anengteacher1,false,"secondary school teacher, not academic researcher"
Angela_SocSci,null,"global ethnography researcher; associate prof in sociology; unclear if qualitative methods used"
AngelaHattery,null,"professor women & gender studies, center director for gender-based violence prevention; but no research mention"
AngelaShares,false,"ux researcher at nordstrom (industry), not academic qualitative researcher"
AngelEsc182,true,"assistant professor sociology, ethnography on children/migration/violence - qualitative methodology explicit"
angieforero11,false,"doctoral candidate in literacy, but role unclear"
angryepimom,false,"former cdc specialist, no current research affiliation or human-subjects research focus"
aniel_pieniazek,null,"phd global education researcher, but methodology/human-subjects focus unclear from bio"
Animals__Matter,false,"self-described fake phd, animal ethics advocacy without research affiliation"
animegfz,false,"ml/ai bioinformatician - quantitative/computational, not qualitative human-subjects research"
AnitaRamesh12,false,"oncologist/clinical role, no qualitative research methodology mentioned"
AnjaMBJensen,true,"associate prof medical anthropology, organ donation ethnography research"
anjan_dhar6,false,"clinical researcher/gastroenterologist, clinical rather than qualitative research focus"
anjiwall,null,"surgeon with phd bioethics, clinical ethics focus - may include qualitative work but unclear"
ANLecturer,null,"associate lecturer anthropologist - qualitative field-based disciplin - no research mention"
AnnaEconomist,false,"bloomberg economist, quantitative economics focus - not qualitative human-subjects research"
AnnaForFlorida,false,"political representative, not academic researcher"
AnnaKFerl,null,"doctoral researcher in weapons/sts, may include qualitative but methodology unclear"
annaleeanda,false,"ux researcher at tech companies, not academic qualitative researcher"
AnnaResearcher,false,"vague bio, no research affiliation or methodology mentioned"
AnnaZajacova,null,"demographer sociologist, population-health scholar at university - social science research - unclear if researcher"
anneegibson,null,"account planner, research ethnography mentioned but commercial rather than academic context"
annefensie,false,"doctoral candidate, instructor, but research focus/methodology unclear from bio"
AnneMetteMller1,true,"associate professor, ethnography and qual/interpretive methodology explicitly stated"
anneploin,true,"phd candidate, ra at oxford, sociology/gender studies - qualitative social science"
AnneTiedemann1,null,"public health researcher university-based, but quantitative focus (physical activity rcts) likely"
Annettebernie,false,"sen tutor/lecturer/psychologist, educational support role not research-focused"
AnnFamMed,false,"journal account, not individual researcher"
annmariekiis,false,"ahrc doctoral candidate egypt/africa focus, insufficient detail on methodology"
AnonymClassic,false,"research project account on premodern literature, not individual qualitative researcher"
AnonymousDigs,false,"no research affiliation, vague identity - appears activist/political rather than academic"
anotherautisti1,false,"anthropology background but bio lacks research affiliation or specific qualitative research indicators"
AnotherNisha,false,"poet and artist; no academic research affiliation or qualitative research methodology"
AnshuOgra,null,"assistant professor in relevant field but bio emphasizes policy/governance without clear qualitative methods"
ansonwhitmer,null,"ceo of ai therapy company; they may require qualitative research for app validation"
AnthonyMJoshua,false,"clinical oncologist; no research methodology or human-subjects study indicators"
anthrolog,null,"evolutionary anthropologist but placeholder/inactive account with no research detail"
anthropo_blog,false,"organization account (two students); not individual researcher"
AnthroTok,null,"team conducting collaborative ethnographic research on tiktok; suggest some qualitative work"
antiquity_media,false,"official media studies account; organization not individual"
antonimo_romero,null,"media/communication studies with migration/human rights focus; unclear if conducting qualitative fieldwork"
antonio_cat_,false,"independent finance/tech researcher; no qualitative human-subjects research"
AntonioJosephAJ,false,"data scientist/ai engineer; not qualitative human-subjects researcher"
AntonIPetrov,false,"rna bioinformatician; computational/quantitative focus, not qualitative research"
ANU_GMCS,false,"department account; organization not individual"
anuragnrouble,null,"urban/platform studies researcher; likely qualitative but bio lacks explicit methodology"
anvoramd,false,"clinical cardiologist with biomedical research focus; not qualitative human-subjects research"
AnxiousPostdoc,false,"postdoc but bio vague; no field/methodology specified"
Anya_Agyer,null,"ba in literature with interest in migration/gender studies; unclear if conducting research"
AnyaFanya,true,"public health communication researcher with environmental health focus; qualitative indicators present"
anyagameer,false,"programmer/data scientist; no qualitative research affiliation"
AnyaWMa,true,"phd candidate education researcher; academic affiliation with research methodology focus"
ANZCA_FPM,false,"professional organization account; not individual"
AoifeIBurke,true,"phd student public health researcher; hiv stigma research suggests qualitative focus"
AParekh_UM,false,"policy officer/clinician; not conducting qualitative human-subjects research"
AparnaSreevatsa,false,"medical oncologist; clinical role without research methodology indicators"
APassaroMD,false,"medical oncologist; biomedical focus not qualitative research"
APCPostdoc,false,"postdoc association account; organization not individual"
aperrottatweets,null,"education professional; design/curriculum focus unclear if conducting qualitative research"
aphasiologist1,false,"aphasia researcher but limited bio; could be qualitative but insufficient detail"
APinchOfScience,false,"microbiologist/immunologist turned consultant; not qualitative human-subjects researcher"
apolloacadcomms,false,"freelance ghostwriter/academic communications, not a qualitative researcher"
ApolloSurveys,false,"organization account aggregating expert views, not individual researcher"
apolo_andrea,false,"medical oncologist, clinical role focused on patient care, no research methodology mentioned"
apowell01,false,"musical engineer/teacher, not a qualitative researcher"
AppAnthro,false,"organization/network account, not individual researcher"
AppliedPolicy,false,"policy consulting firm, not individual academic qualitative researcher"
AppStudiesASU,false,"center/organization account, not individual researcher"
apratimbh,false,"ml/computational researcher, quantitative focus without human-subjects component"
apribula,false,"data scientist, quantitative focus, no qualitative research indicators"
aprilwahlin,false,"author/screenwriter/actor, not an academic researcher"
APSCUFGR,false,"organization/government relations account, not individual researcher"
apsedp,false,"journal account (multiple tweet authors), not individual qualitative researcher"
AQorah,true,"peace/conflict specialist conducting research with adjunct academic role; qualitative methodology implied"
ara_anderson,false,"mathematical oncologist, quantitative computational focus, not qualitative researcher"
Arab_Oncologist,false,"medical informatics director, clinical focus, no qualitative research indicators - language barrier obfuscates"
arachno_joe,false,"arachnologist doctoral candidate, quantitative phylogenomics/taxonomy focus, not qualitative"
AradhiyaKhan4,false,"trans rights activist/media studies student, activism-focused without clear research affiliation"
Arash,false,"deputy mayor/publisher with law phd, policy/publishing focus, not empirical qualitative researcher"
ArastooFazeli,false,"data scientist/quant trader, quantitative focus without human-subjects research"
arathimy,false,"market researcher/engineer, no academic affiliation or qualitative methodology indicators"
ArchaeoAshleigh,false,"assistant research professor at Cambridge - unclear focus"
archsci2020,false,"eu training network/organization account, not individual researcher"
ArdiFindyartini,null,"medical education researcher - fieldwork matches but unclear methods"
areeba_kara,null,"im hospitalist clinical researcher, ambiguous research type and methods"
arevuo_m,false,"political economy phd, theoretical focus, no human-subjects qualitative research mentioned"
arghavan_salles,null,"dei researcher/consultant with academic affiliation - unclear methods"
arianneteherani,true,"education researcher/evaluator at ucsf, equity focus, evaluation methodology aligns with qualitative"
arieltypes,false,"survivor advocate/nonprofits professional, advocacy-focused without clear research affiliation"
arijitpinnacle,false,"radiation oncologist, clinical role, no research methodology mentioned"
ArinaGrossu,false,"bioethicist/podcast host, unclear if conducting research"
arji_barji,false,"clinical researcher at lshtm but primary role is infection registrar; unclear if qualitative focus"
arkansassy_kim,null,"phd communication; studies media/pop culture; unclear if active researcher"
ArkhamAsylumDoc,false,"media psychologist/behavioral science; podcast host; no research mention"
ArkHigherEd,false,"organization account, not individual researcher"
ArkoOlesk,null,"science communication researcher; could include qualitative but primary focus unclear"
Armin_Hoori,false,"art market/digital art curator; not conducting qualitative human-subjects research"
armin_np_,false,"crypto/web dev; not qualitative researcher or academic affiliation"
ArmsteadProject,false,"organization account, not individual researcher"
arnasaleks,true,"phd social sciences; ux researcher explicitly studying human experience; qualitative methods"
ArnettTom,null,"education researcher but focus appears quantitative/policy-oriented disruptive innovation"
arrant_annarchy,false,"doctoral candidate but bio too vague"
arsandbox,false,"technology/tool project, not individual qualitative researcher"
arshad83,false,"data scientist/ai specialist; quantitative focus, not qualitative researcher"
ArthurZalevsky,false,"bioinformatician; computational/quantitative, not qualitative human-subjects research"
articles_o,false,"data scientist; quantitative focus, vague bio, no clear research affiliation"
artieamber,null,"senior lecturer teacher education researcher; unclear if conducting research himself"
ArtioGrimm,false,"vtuber content creator; not conducting academic qualitative research"
arts_tmu,false,"organization account, not individual researcher"
ArtsUnimelb,false,"faculty organization account, not individual researcher"
ArtyArtHistory,false,"art historian; bio too vague"
ARU_Business,false,"organization account, not individual researcher"
Arun_Oncologist,false,"radiation oncologist; clinical role without research mention"
arvind_abraham,null,"law doctoral candidate; legal scholar but unclear if conducting qualitative empirical research"
ary_sexual,false,"profile not credible; adult content account"
AryaKarijo,true,"ux researcher with human-centered design focus; qualitative research methodology implied"
arzumuzun,null,"phd women & gender studies; academic literary/gender scholar; unclear if researcher"
ASAethnography,false,"professional caucus organization account, not individual"
asafkraus,null,"ceo/data scientist in health tech; they may require qualitative research for validation"
asante_lucy,false,"phd literary scholar; unclear info from bio"
ASCOLAcomp,false,"organization account, not individual researcher"
at_psychologist,null,"developmental psychologist with neurodivergence focus; awareness/education emphasis unclear if conducting qualitative research"
ATACCFaculty,false,"organization account (multidisciplinary faculty), not individual researcher"
ATantBrownPhD,null,"phd candidate in terrorism/security; qualitative methods not explicitly stated"
atata_atatatata,false,"medical oncologist focused on clinical care, not human-subjects qualitative research; language barrier obfuscates evaluation"
atavist_13,null,"phd student in digital media/indian politics; some potential but methods unclear"
atiabu,null,"education researcher/demographer; demographics suggest quantitative but 'education' could include qualitative work"
atlantlitwomen,false,"organization/cultural program account, not individual researcher"
ATMediaMag,false,"publication/media account, not individual qualitative researcher"
ATorkamani,false,"translational scientist/bioinformatician; quantitative genomics focus, no human-subjects qualitative component"
atwater_brett,false,"clinical director/physician in electrophysiology; clinical role without qualitative research indication"
AtypicalPsychol,null,"clinical psychologist with ptsd/telehealth focus; clinical practice vs research involvement unclear"
AUAcadSupport,false,"institutional support service account, not individual researcher"
aub_hes,false,"scholarship program account, not individual researcher"
aub_wgs,false,"academic program account, not individual researcher"
AubmcPsychiatry,false,"institutional psychiatry department account, not individual researcher"
aubombarely,false,"genobotanist/bioinformatician; plant domestication study uses quantitative molecular methods, not qualitative"
AubreyGabelCU,false,"french professor in literature/gender studies; role unclear"
AUBSOAM,false,"departmental account, not individual researcher"
AUCRGC,false,"institutional department account, not individual researcher"
Audrey2110,false,"doctoral candidate in strategic leadership, retired; insufficient research info"
AudreyDorelien,null,"demographer studying population/environment; epidemiology focus suggests quantitative methods but population focus mixed"
AurelieOlivesi,null,"media discourse analysis + gender studies; methods unclear"
AurelNz,false,"senior data scientist; quantitative focus without human-subjects qualitative research indication"
Auroraessayss,false,"essay/academic writing service business account, not individual researcher"
AusJPolSci,false,"journal account, not individual researcher"
AustinScholar,false,"education commentator/writer without academic affiliation or research indication; appears advocacy-focused"
aut_psych,false,"autistic psychologist with therapy background; clinical focus"
AuthorTCManning,false,"military veteran/fiction author; not academic researcher"
AuxaneBoch,null,"doctoral candidate in virtual reality, social robots, ai ethics; could involve qualitative but methods unclear"
SarahJTracy,true,"asu professor, explicitly states qualitative methods research focus, organizational communication"
DrDorothyESmith,true,"developer of institutional ethnography, foundational qualitative sociology methodology"
ECQHRN,false,"network/organization account, not individual researcher"
shehrbanozahra,null,"assistant prof, grounded theory, sociolinguistics, constructivist; unclear if researcher"
DrFeMurray,true,"assistant prof social work, child welfare, qualitative research on fatherhood"
YegorLazarev,null,"assistant prof political science, ethnography, law & society research; unclear if researcher"
Cardiff_ethnog,false,"research group/organization, not individual"
srujka,true,"phd candidate, collaborative ethnography on labor, ethnographic research methods"
cee_upenn,false,"research center/organization, not individual"
GrdtheoryScot,false,"network organization, not individual researcher"
CatherineTrund1,true,"medical anthropologist, collaborative ethnography, health & inequality research"
philbu,true,"sociocultural anthropologist, ethnography methodology explicit"
EthnographyEd,false,"journal organization account, not individual"
HannahLPitt,true,"public health qualitative researcher exploring commercial determinants of health"
ramnathshreya,null,"doctoral candidate social anthropology, identity & trauma research; unclear if conducting research"
ethnostudio,false,"research studio/organization account at usc, not individual"
Prarsha,null,"phd sociology, identity & trauma, discourse analysis; but unclear methods"
EthnographyLab,false,"university lab organization, not individual researcher"
AnjaMBJensen,true,"associate prof medical anthropology, organ donation ethnography research"
DrStachowiak,null,"associate prof curriculum studies, director gender center; research focus unclear"
ASAethnography,false,"professional caucus organization account, not individual"
jennortegren,null,"associate prof religion, ethnography, gender and class research; unclear if is conducting research"
michele_freed,null,"medical anthropology phd, pregnancy/birth/breastfeeding; suggest ethnographic but research unclear"
MaireadCavanag2,true,"phd studies, qualitative methods focus, policy and caregiver health research"
thiago_asobrab,true,"postdoc anthropologist, decolonial sts, political ecology research"
sensethnlab,false,"harvard research lab account, not individual researcher"
Oxford_E_E_conf,false,"conference organization account, not individual"
SnellJulia,true,"sociolinguist, linguistic ethnography, language identity education research; likely uses qualitative methods"
JyotiPuri_2,null,"critical sociology, sexuality/postcolonial studies, qualitative focus evident; unclear if leading research"
NIBjournal,false,"journal organization, not individual researcher"
EthnoForumGSE,false,"organization/forum account, not individual researcher"
Nisa00,null,"sts scholar, pi status suggests research but sts is theory-focused; unclear if empirical fieldwork"
LexPuliceFarrow,true,"gender & sexuality researcher, doctoral candidate; qualitative field with human-centered focus"
DesRochersJake,true,"phd candidate in sex education/gender/sexuality; education research typically qualitative"
Jen_Breck,true,"explicitly states 'grounded theory' and qualitative knowledge mobilisation; ahp research"
Caitlin_Procter,true,"anthropologist with book on inclusive ethnography; explicit ethnographic methodology"
Dra_Wallace,true,"health equity scholar at duke; public health researcher studying populations/disparities"
leclainchepiel,null,"sts/sociology on body materials; primarily theoretical/conceptual rather than empirical fieldwork"
PatchworkEthno,false,"project/collaborative account, not individual researcher"
VeraTensTXL,null,"grounded theory methodologist (charmaz); qualitative research focus explicit; unclear if conducting research"
rashmi_sings,null,"political ethnography researcher; assistant prof studying gender/politics qualitatively; unclear if workfield"
geofffhughes,null,"teacher ethnographer; lecturer in anthropology with explicit ethnographic methodology; unclear if researcher"
ShawntaeMitchum,true,"black sociologist, doctoral candidate; sociology with human-centered focus"
Angela_SocSci,null,"global ethnography researcher; associate prof in sociology; unclear if qualitative methods used"
Ethnography911,null,"medical anthropologist; associate prof conducting ethnographic research on health/culture; unclear if conducting research"
MancEthnography,false,"network/working group account, not individual researcher"
lynnsardinha,true,"feminist public health researcher on violence prevention; qualitative health research"
juliaehbrown,true,"anthropologist & bioethicist at ucsf; anthropology implies qualitative fieldwork"
DrHelenTracey,true,"explicitly states ethnography/sociology; researching lived experience qualitatively"
KNakray,true,"gender comparative sociologist; social policy/public health research on populations"
EstelaVasquezG,true,"medical sociologist; assistant prof in family medicine studying health/education qualitatively"
ManxomeMia,true,"critical medical humanities researcher; sts with embodied health experience focus"
DrLizAparicio,true,"associate prof @umd studying child abuse/youth sexual health; qualitative social work/public health"
EmmakJackson,true,"sociologist conducting ethnography on cities/belonging; explicit ethnographic methodology"
LAethnography,false,"seminar/forum account, not individual researcher"
prison_research,true,"senior research fellow studying prison populations; human-subjects research focus"
JenjiraYahirun,true,"sociologist studying families/migration/health; highly likely qualitative methods are used"
joecropp,true,"ethnographer of humanitarianism & conflict; explicit ethnographic research methodology"
hc_clancy,true,"doctoral candidate in social work; qualitative field with human-centered focus"
solveigsuess,null,"filmmaker/researcher; political ecology/sts but unclear if conducting empirical qualitative research"
teresaburke,null,"bioethicist and philosophy professor; theoretical focus unclear if conducting empirical qualitative research with human subjects"
NFBrenman,true,"social researcher in anthropology-sociology with sts background; studying remote care technologies in fieldwork setting"
DoctaValle,true,"sociology professor explicitly mentions ethnography; race/justice/urban studies with qualitative fieldwork focus"
TheoBeltranepi,true,"public health doctoral candidate studying health inequities; pharmacoepidemiology and trans health research typically involves qualitative human-subjects work"
LilyHindy,null,"history doctoral candidate studying kurdish movement; ambiguous if conducting interviews/ethnography vs archival/historical analysis"
idery38,true,"gender studies researcher interested in violence and masculinities in africa; suggests qualitative human-centered research"
BrunoV_Africa,null,"migration and gender researcher; insufficient detail on methodology or whether conducting empirical qualitative work"
hei_anni,false,"guest professor in discourse and corpus linguistics; text-based analysis rather than human-subjects qualitative research"
ChangeMary,true,"social worker and doctoral candidate; advocacy for teens and women suggests qualitative human-centered research with populations"
sandeepbak,null,"postcolonial queer studies academic; theoretical orientation but unclear if conducting empirical fieldwork/interviews"
DrIreneZempi,true,"criminology associate professor explicitly mentions ethnography; hate crime and intersectionality research requires qualitative human-subjects work"
HannahCEM,true,"public health lecturer studying health inequalities and lgbtq+ health; researcher role suggests qualitative human-subjects engagement"
RachelleVessey,false,"linguist focused on corpus/discourse analysis and media studies"
MinerSkye,true,"bioethicist and sociologist studying reproductive health and healthcare access; sociologist role with health equity suggests qualitative research"
IEN_UK_IRE,false,"institutional organization/network, not an individual researcher"
ChloeBirdPhD,true,"director of health equity center; sociologist studying health disparities at academic institution"
me_meier,true,"arts education professor explicitly mentions narrative inquiry; arts-based research requires participant engagement"
VWongsomboon,true,"assistant professor studying stigma, health, and sexuality; human-centered research on lived experience suggests qualitative methods"
kirby_benjamin,true,"assistant professor explicitly mentions ethnography and immersion study; religious politics and urban life research conducted in field setting"
RhondaBalzarini,true,"sexuality and relationship researcher; social psychologist studying human sexuality/relationships; human-subjects empirical research"
adiahafraz,true,"edd doctoral student; narrative inquiry methodology explicitly stated; loneliness/online learning research"
IDPCornell,false,"academic initiative/program, not an individual researcher"
JamesFor,true,"constructivist grounded theory researcher; explicitly names qualitative methodology for studying management/business"
_marycollier,true,"sociology assistant professor; aid and development research typically requires qualitative human-centered fieldwork"
ki_barnett,true,"research scientist studying health equity and racism; health disparities research typically involves qualitative community-engaged work"
jacasiegel,true,"clinical research specialist studying eating disorders, body image, and sexuality; human-subjects research requiring participant interviews/engagement"
DrBrianNSmith,true,"pi studying trauma and psychosocial factors"
JSchleiderPhD,true,"associate professor directing mental health lab; scalable interventions research with human subjects; qualitative development implied"
EricSchrimshaw,true,"public psychologist and researching aids on specific minorities; highly likely qualitative methods"
ProfAbigailYork,null,"says professor, vague bio, no research signals"
PolEthnography,false,"centre for political ethnography; university-based research institution; not an individual researcher"
DanielZBuchman,null,"bioethicist with academic affiliation; ethics may involve qualitative work but unclear"
jvandernaald,true,"sociology doctoral candidate - sociology is qualitative-heavy field with strong signals"
SaraAnnWylie,null,"associate professor sts co-founder publiclab; unclear if conducting qualitative research"
ve_journal,false,"visual ethnography journal, core qualitative/ethnographic research; not and individual researcher"
oxford_anthro,false,"oxford anthropology department; not an individual researcher"
EmilyMThomson,true,"phd researcher, supported self-management study suggests qualitative health research, mental health lecturer"
cm_ulrich,null,"nursing bioethics professor; nursing science with ethics focus; unclear if conducting research"
weilanch,true,"professor, early education researcher, policy focus, co-director of research center"
fe_researcher,true,"phd researcher in inclusive/participatory research design. clear qualitative methodology and community focus."
GTinAsia,false,"grounded theory network; no bio - insufficient signal"
m_waligora,true,"bioethicist professor with research ethics focus, harvard affiliation, strong qualitative signals"
ptindana,null,"global health bioethicist; unclear if active researcher"
michelelobo29,false,"geographer studying postcolonial studies; not enough signal of qualitative work"
UJEspinoza,null,"assistant professor anthropologist, bioethics research; unclear if qualitative methods"
UofT_FIFSW,false,"social work faculty; not an individual researcher"
javeedsukhera,null,"psychiatrist, physician, and social scientist. medical educator with humanistic/social science orientation. may employ some qualitative methods but unclear"
Wilkinson2S,null,"bioethicist pi with reproductive research focus; unclear if employs qualitative methods"
lisa_k_wright,true,"legal studies doctoral candidate studying harm reduction practices; qualitative policy/practice research focus; likely uses qualitative methods"
MarceMontanaro,true,"phd student in human rights, decolonial/postcolonial studies, feminist; qualitative legal/humanities research"
morgancarpenter,false,"bioethicist professor; human rights defender and interaction organization leadership suggest qualitative focus; account no longer active"
UANativeStudies,true,"indigenous studies with community engagement & teaching research focus; qualitative-heavy"
PCOS_Researcher,null,"phd in health economics, health policy research, clear academic credentials; unclear if qualitative work"
YNPierce,false,"professor, theologian, black church historian; not a researcher"
transcultpsych,false,"peer-reviewed scientific journal in cultural psychiatry; not an individual researcher"
ContinuumJMCS,false,"peer-reviewed journal in media & cultural studies; not an individual researcher"
MichiganCEAL,true,"community-based participatory research with underserved populations; not a personal account"
lawrencepatihis,null,"psychological scientist at uc irvine with memory research expertise; unclear if uses qualitative methods"
TheBusyOwl,null,"philosopher of science/mind/psychiatry with bioethics, qualitative research oriented; unclear if uses qualitative methods"
ResearcherKev,null,"social psychology phd studying race/ses biases. likely qualitative research on healthcare and policing but unclear"
ECRA_DiPH,false,"early career researcher academy with interdisciplinary research focus; not a personal account"
DrErinKeith,true,"education researcher focused on leadership and decolonization, qualitative education research likely"
ReettaSipp,false,"cultural historian doctoral candidate; no signal of qualitative work"
MNC_Psychiatry,false,"neuropsychiatry research centre, cutting-edge mental disorder research; not a personal account"
DrSocResearcher,null,"self-described sociologist; unclear if conducting research"
MetacogniShane,false,"postdoc at cornell, phd; confusing research focus; no qualitative work signal"
lsudol,true,"education researcher, systems thinker, advocate; qualitative orientation likely"
mandy_tru,true,"public health researcher/educator; health system equity & social justice focus. qualitative-aligned."
JasmineDGraves,null,"phd candidate, equity & impact strategist. public health but unclear if qualitative focus"
transaidenjames,null,"doctoral candidate in gender and transnational media; unclear qualitative signals"
TheJRAI,false,"journal of royal anthropological institute; not a personal account"
MattMotyl,false,"social/political psychologist, ux researcher; but more known as an athlete and professor"
Researcher_Kate,true,"researcher at qut specializing in medical uncertainty, explicit qualitative health research"
SapfoLignou,true,"bioethicist at oxford, child/global health—qualitative research likely"
Tucson_Cowgirl,null,"folklorist, ethnography, cultural studies; unclear qualitative methods"
CJ_researcher,true,"criminal justice researcher at university of birmingham. evaluator role suggests qualitative work with communities."
MariaCafeina,null,"sociologist & demographer at unam and flacso; phd in population studies; unclear if qualitative methods"
Becca_Hosey,true,"public health researcher in harm reduction; nursing and equity; likely uses qualitative methods"
CharlotteNisbe5,null,"doctoral researcher in philanthropy/civil society; qualitative methods likely but not explicit"
Grid_Iso,null,"dr., anthropologist, black feminist science studies. some qualitative signals but unclear"
BorsikaRabin,null,"implementation scientist with explicit community co-creation focus; unclear if qualitative methods"
noufalbehairi,null,"phd education, ma applied linguistics - clear education researcher; unclear if conducts qualitative research"
naacevedog,null,"lawyer bioethicist consultant with disability focus; unclear if qualitative research"
nuamhatzaw,false,"lecturer in asian christianity; no signals of qualitative research"
RobHelfenbein,null,"curriculum studies professor; high-signal qualitative research domain in education; unclear if conducts research"
kmcg2375,null,"university lecturer in curriculum studies, journal editor, social justice focus; unclear if conducts research"
DunneSiobhan,true,"head of teaching & research, explicitly ethnography #critlib; qualitative research leadership role"
haomingsongsoc,null,"assistant professor; sociologist and demographer; no signal of conducting research"
Chinmaya_Mishra,null,"postdoctoral researcher in social robotics/hri, interdisciplinary but mixed methods"
dieptl,true,"phd in hci studying social media relationships/self-presentation - academic qualitative researcher in ux/social science domain"
SqInchAnthro,true,"ethnography explicit, design strategy, fulbright fellow, researcher identity clear"
QuantPsychiatry,true,"md/phd psychiatrist researcher, stats/methods focus suggests quantitative orientation"
SOAS_CCLPS,false,"soas centre for cultural, literary and postcolonial studies; not a personal account"
josephinebeckr,null,"phd student, militant ethnography, prefigurative politics, qualitative focus; unclear if conducting research"
RachResearcher,true,"research fellow in psychosocial oncology with psychology background. good qualitative potential"
sarqari,false,"anthropologist at npr, journalist; no signals of conducting research"
nold_christian,null,"artist-designer and sts researcher; design research but less explicitly qualitative"
claugobel,null,"sts researcher with citizen science; qualitative engagement methodology; unclear if uses qualitative methods"
JScottPhD,null,"phd researcher at university specializing in populism studies; unclear if using qualitative methods"
kquinnjudge,true,"analyst with explicit ethnography of conflict focus; geopolitical research suggests qualitative interviewing and fieldwork methods"
BlackHerstorian,null,"history doctoral candidate studying black activism; history field uses qualitative/narrative inquiry; may use qualitative methods but unclear"
ckohtala,null,"sts researcher in design/sustainability; some qualitative methodology signals but unclear"
rosario_isasi,true,"lawyer-bioethicist, director of bioethics institute, qualitative methods likely"
PouyaSep,null,"sts researcher on technology-city; may use some qualitative methods but unclear"
DebatingEthno,false,"research group focused on ethnography; multidisciplinary qualitative inquiry; but not a personal account"
fcareyesa,true,"bioethicist phd researcher, medical ethics involves qualitative methodology and irb work"
StarraEducation,true,"doctoral researcher, mental health, education leadership. some qualitative potential but unclear if empirical research."
StevieGrassetti,true,"clinical psychologist researcher focused on underserved youth/families; qualitative research strong signal"
rrvanderbilt,true,"phd interpersonal communication, relationship research; highly likely qualitative methodology"
TheJoseVilson,true,"phd educator sociologist, policy focus, clear academic research background."
Madeleine_Pape,null,"ph.d. sociology with gender & feminist science studies focus; unclear if conducts research"
DrLawsonWelsh,null,"academic researcher in food studies, postcolonial literature; humanities-based; unclear if qualitative methodology"
